timestamp,Open,High,Low,Close,Volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,Returns,Log_Returns,SMA_20,SMA_50,SMA_200,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,Stoch_K,Stoch_D,RSI_Signal,BB_Signal,Stoch_Signal,MA_Signal,Weighted_Signal,Final_Signal
2025-05-28 05:00:00,2.3119,2.3124,2.3016,2.3025,11304062.2,1748411999999,26056341.10478,39036,5648922.1,13019102.77570,0,-0.004065919806219953,-0.004074208132229963,2.3224150000000003,2.31866,2.3515115,39.167689330578845,-0.002110204746869293,-1,-0.0026496326464648676,2.3447670267538383,2.3224150000000003,2.3000629732461624,1.9067796610172043,15.042372881355947,0,0,1,0,-0.09999999999999998,0
2025-05-28 06:00:00,2.3025,2.3027,2.2857,2.2872,26814800.9,1748415599999,61459941.39246,74656,11536291.9,26434648.36107,0,-0.006644951140065247,-0.006667127121359964,2.320985,2.3174520000000003,2.351071,31.798425050993842,-0.004143066231073078,-1,-0.0037459953045349222,2.3480164834961816,2.320985,2.293953516503818,2.3771790808241646,8.701997546715434,0,1,1,0,0.10000000000000003,0
2025-05-28 07:00:00,2.2871,2.2985,2.283,2.2945,15098600.5,1748419199999,34591451.86060,53851,8110319.2,18583238.48017,0,0.003191675410983086,0.00318659282678637,2.319785,2.316466,2.3506455,37.81056276174922,-0.005106213362787493,-1,-0.0037673139489994697,2.3491788275834296,2.319785,2.2903911724165704,18.638573743922645,7.6408441619213265,0,0,1,0,-0.09999999999999998,0
2025-05-28 08:00:00,2.2945,2.3022,2.29,2.2998,12310013.3,1748422799999,28271208.63291,49164,5850698.6,13438887.59375,0,0.002309871431684263,0.002307207779676012,2.318555,2.315566,2.3502655,41.82053989090095,-0.005379833327944894,-1,-0.0032327471313254963,2.3491093106615812,2.318555,2.2880006893384186,29.370629370629285,16.79546073179202,0,0,0,0,-0.3,-1
2025-05-28 09:00:00,2.2998,2.3003,2.2883,2.295,11384363.1,1748426399999,26134659.61634,46993,5071265.0,11642333.91145,0,-0.0020871380120009997,-0.0020893191199188327,2.316785,2.314504,2.349762,39.34609944812279,-0.005915805285513276,-1,-0.003014975271115102,2.34847002958819,2.316785,2.28509997041181,22.38805970149261,23.465754272014834,0,0,0,0,-0.3,-1
2025-05-28 10:00:00,2.295,2.304,2.2861,2.3022,13204861.1,1748429999999,30309075.71983,49330,6283545.7,14424190.78044,0,0.0031372549019608176,0.0031323439863162024,2.315365,2.313704,2.349325,44.63759305624948,-0.005693950776080925,-1,-0.002234496609346201,2.3469917149733344,2.315365,2.2837382850266654,38.70967741935516,30.15612216382567,0,0,0,0,-0.3,-1
2025-05-28 11:00:00,2.3022,2.309,2.3004,2.3068,13916557.7,1748433599999,32082657.47911,44187,6591090.5,15196647.69997,0,0.0019980887846406947,0.0019960952602957765,2.3138549999999998,2.313048,2.3489519999999997,47.772528216261335,-0.005088293245601783,-1,-0.001303071263093647,2.3440574154663922,2.3138549999999998,2.2836525845336073,59.94962216624652,40.34911976236475,0,0,0,0,-0.3,-1
2025-05-28 12:00:00,2.3067,2.3142,2.3036,2.306,15701616.6,1748437199999,36264633.22787,51462,6840302.6,15800888.27910,0,-0.0003468007629616743,-0.00034686091225321844,2.31221,2.3124860000000003,2.348547,47.27119438404616,-0.004619606653395891,-1,-0.0006675077367102045,2.3402858187771014,2.31221,2.2841341812228984,57.93450881612081,52.19793613390749,0,0,0,0,-0.3,-1
2025-05-28 13:00:00,2.306,2.3071,2.2786,2.2807,36680541.5,1748440799999,84068150.49134,92444,15126483.5,34681589.80219,0,-0.010971379011274984,-0.011032008456900154,2.309205,2.311414,2.3480735,34.82460832619263,-0.006217990586529165,-1,-0.0018127133358747825,2.3372626175040705,2.309205,2.2811473824959294,4.761904761904714,40.882011914757335,0,1,0,0,-0.09999999999999998,0
2025-05-28 14:00:00,2.2806,2.2844,2.266,2.2669,52107641.4,1748444399999,118617878.99235,124504,22793719.8,51894590.74303,0,-0.006050773885210581,-0.006069153997624483,2.3057950000000003,2.30995,2.347581,30.159878391017543,-0.008500280100106394,-1,-0.003276002279561609,2.3368522036733,2.3057950000000003,2.2747377963267006,1.5873015873017986,21.427905055109097,0,1,0,0,-0.09999999999999998,0
